date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:56:19	2418/2418	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/reseau-internet/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/reseau-internet/feed/index.html	(from http://www.xaviercochet.fr/tag/reseau-internet/)
05:56:19	2401/2401	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/vitrine/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/vitrine/feed/index.html	(from http://www.xaviercochet.fr/tag/vitrine/)
05:56:21	2325/2325	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/association/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/association/feed/index.html	(from http://www.xaviercochet.fr/tag/association/)
05:56:21	2325/2325	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/colaboratif/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/colaboratif/feed/index.html	(from http://www.xaviercochet.fr/tag/colaboratif/)
05:56:22	52821/52821	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:19%20GMT	http://www.xaviercochet.fr/site-internet-interactif-oui-et-vite-sinon-on-eteint-les-bougies/?shared=email%26msg%3Dfail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/site-internet-interactif-oui-et-vite-sinon-on-eteint-les-bougies/indexfb4f.html	(from http://www.xaviercochet.fr/site-internet-interactif-oui-et-vite-sinon-on-eteint-les-bougies/?shared=email%26msg=fail)
05:56:22	2329/2329	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/mutualisation/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/mutualisation/feed/index.html	(from http://www.xaviercochet.fr/tag/mutualisation/)
05:56:23	3711/3711	---M--	200	added ('OK')	application/rss+xml	etag:%2210d6648c46cf0b902fc53b1d98aa9838%22	http://www.xaviercochet.fr/tag/maison-des-associations/feed/	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/tag/maison-des-associations/feed/index.html	(from http://www.xaviercochet.fr/tag/maison-des-associations/)
05:56:28	51622/51622	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:23%20GMT	http://www.xaviercochet.fr/pour-une-maison-des-associations-lieu-de-vie/?shared=email%26msg%3Dfail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/pour-une-maison-des-associations-lieu-de-vie/indexfb4f.html	(from http://www.xaviercochet.fr/pour-une-maison-des-associations-lieu-de-vie/?shared=email%26msg=fail)
05:56:29	52075/52075	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:23%20GMT	http://www.xaviercochet.fr/scrutin-des-23-et-30-mars-voter-par-procuration/?shared=email%26msg%3Dfail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/scrutin-des-23-et-30-mars-voter-par-procuration/indexfb4f.html	(from http://www.xaviercochet.fr/scrutin-des-23-et-30-mars-voter-par-procuration/?shared=email%26msg=fail)
05:56:29	71651/71651	---MC-	200	added ('OK')	text/html	date:Tue,%2007%20Jan%202020%2004:56:23%20GMT	http://www.xaviercochet.fr/les-attentes-des-samiellois-et-les-4-candidats-est-republicain-du-18-mars-2014/?shared=email%26msg%3Dfail	C:/Users/Raphu/Desktop/Campagne%20Xavier/Xaviercochet.fr/Ancien%20Site/Ancien%20Site%20Xavier%20Cochet/www.xaviercochet.fr/les-attentes-des-samiellois-et-les-4-candidats-est-republicain-du-18-mars-2014/indexfb4f.html	(from http://www.xaviercochet.fr/les-attentes-des-samiellois-et-les-4-candidats-est-republicain-du-18-mars-2014/?shared=email%26msg=fail)
